Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/MonicaWarner/index.jsp.html?addCss=.commander-iframe|display|none&wait=4000,001,d001,DNT,DNT
,/_sites/MonicaWarner/index.jsp.html?addClass=.h:eq(1)|hover&addCss=.commander-iframe|display|none&wait=4000,001a,d001a,DNT,DNT
,/_sites/MonicaWarner/index.jsp.html?addClass=.h:eq(2)|hover&addCss=.commander-iframe|display|none&wait=4000,001b,d001b,DNT,DNT
,/_sites/MonicaWarner/index.jsp.html?addCss=backgroundPopup8|display|block&addCss=social_icon_popup8|display|block&addCss=.commander-iframe|display|none&wait=4000,001c,d001c,DNT,DNT
,/_sites/MonicaWarner/patient/about-monica-warner.jsp.html?addCss=.commander-iframe|display|none&wait=4000,002,d002,DNT,DNT
,/_sites/MonicaWarner/patient/current-warner-award-recipient-2017.jsp.html?addCss=.commander-iframe|display|none&wait=4000,003,d003,DNT,DNT
,/_sites/MonicaWarner/patient/current-warner-award-recipient-2016.jsp.html?addCss=.commander-iframe|display|none&wait=4000,004,d004,DNT,DNT
,/_sites/MonicaWarner/patient/current-warner-award-recipient-2015.jsp.html?addCss=.commander-iframe|display|none&wait=4000,005,d005,DNT,DNT
,/_sites/MonicaWarner/patient/warner-award-recipient-2014.jsp.html?addCss=.commander-iframe|display|none&wait=4000,006,d006,DNT,DNT
,/_sites/MonicaWarner/patient/warner-award-recipient-2013.jsp.html?addCss=.commander-iframe|display|none&wait=4000,007,d007,DNT,DNT
,/_sites/MonicaWarner/patient/warner-award-recipient-2012.jsp.html?addCss=.commander-iframe|display|none&wait=4000,008,d008,DNT,DNT
,/_sites/MonicaWarner/patient/warner-award-recipient-2011.jsp.html?addCss=.commander-iframe|display|none&wait=4000,009,d009,DNT,DNT
,/_sites/MonicaWarner/patient/warner-award-recipient-2010.jsp.html?addCss=.commander-iframe|display|none&wait=4000,010,d010,DNT,DNT
,/_sites/MonicaWarner/patient/about-the-warner-award.jsp.html?addCss=.commander-iframe|display|none&wait=4000,011,d011,DNT,DNT
,/_sites/MonicaWarner/patient/about-novartis-patient-advocacy.jsp.html?addCss=.commander-iframe|display|none&wait=4000,012,d012,DNT,DNT
,/_sites/MonicaWarner/patient/relevant-links.jsp.html?addCss=.commander-iframe|display|none&wait=4000,013,d013,DNT,DNT
,/_sites/MonicaWarner/patient/error.html?addCss=.commander-iframe|display|none&wait=4000,014,d014,DNT,DNT
