Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,001,d001,t001,m001
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=1,001a,d001a,t001a,m001a
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=2,001b,d001b,t001b,m001b
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=3,001c,d001c,t001c,m001c
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=4,001d,d001d,t001d,m001d
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,001e,d001e,t001e,m001e
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&headerAccordion=1&wait=4000,001f,DNT,DNT,m001f
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/about-disease/understanding-the-disease/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,002,d002,t002,m002
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/about-disease/signs-symptoms/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,004,d004,t004,m004
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/about-treatment/understanding-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,005,d005,t005,m005
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,005a,d005a,t005a,m005a
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/about-treatment/how-to-take/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,006,d006,t006,m006
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/side-effects/side-effects/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,007,d007,t007,m007
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/side-effects/side-effects/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,007a,d007a,t007a,m007a
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/side-effects/side-effect-management/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,007b,d007b,t007b,m007b
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/patient-support/financial-resources/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,009,d009,t009,m009
,/_sites/Afinitor/afinitor.edit.stage.calypso.novartis.episerverhosting.com/lung-neuroendocrine-tumors/patient-support/frequently-asked-questions/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,010,d010,t010,m010
