Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,001,d001,t001,m001
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=1,001a,d001a,t001a,m001a
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=2,001b,d001b,t001b,m001b
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=3,001c,d001c,t001c,m001c
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=4,001d,d001d,t001d,m001d
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,001e,d001e,t001e,m001e
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&headerAccordion=1&wait=4000,001f,DNT,DNT,m001f
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/about-disease/understanding-the-disease/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,002,d002,t002,m002
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/about-treatment/understanding-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,004,d004,t004,m004
,/_sites/Afinitor/afinitorsecondary.edit.stage.calypso.novartis.episerverhosting.com/advanced-pancreatic-neuroendocrine-tumors/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,005,d005,t005,m005
