Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,000,d000,t000,m000
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,001,d001,t001,m001
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=1,002,d002,t002,m002
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=2,003,d003,t003,m003
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=3,004,d004,t004,m004
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=4,005,d005,t005,m005
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/about-disease/what-is-kit-gist/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,006,d006,t006,m006
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/about-disease/what-is-kit-gist/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&tabs=2&wait=4000,007,d007,t007,m007
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/about-disease/what-is-kit-gist/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&tooltip=1&wait=4000,008,d008,t008,m008
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/about-treatment/understanding-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,009,d009,t009,m009
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,010,d010,t010,m010
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&tabs=2&wait=4000,011,d011,t011,m011
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&tooltip=1&wait=4000,012,d012,t012,m012
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/about-treatment/dosing-administration/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,013,d013,t013,m013
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/about-treatment/switching-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,014,d014,t014,m014
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/side-effects/understanding-side-effects/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,015,d015,t015,m015
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/patient-support/financial-resources/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,016,d016,t016,m016
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/patient-support/frequently-asked-questions/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,017,d017,t017,m017
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/patient-support/frequently-asked-questions/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,018,d018,t018,m018
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/patient-support/download-helpful-materials/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,019,d019,t019,m019
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/patient-support/download-helpful-materials/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,020,d020,t020,m020
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/sitemap/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,021,d021,t021,m021
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&interstitial=1&wait=4000,022,d022,t022,m022
,/_sites/Gleevec/gleevec.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&headerAccordion=1,023,DNT,DNT,m023
