Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,001,d001,t001,m001
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=1,001a,d001a,t001a,m001a
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=2,001b,d001b,t001b,m001b
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=3,001c,d001c,t001c,m001c
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=4,001d,d001d,t001d,m001d
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,001e,d001e,t001e,m001e
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&headerAccordion=1,001f,DNT,DNT,m001f
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-the-disease/understanding-the-disease/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,002,d002,t002,m002
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-the-disease/signs--symptoms/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,003,d003,t003,m003
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-the-disease/talking-to-your-doctor/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,004,d004,t004,m004
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/understanding-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,005,d005,t005,m005
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/clinical-trials/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,006,d006,t006,m006
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/dosing/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,007,d007,t007,m007
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/monitoring-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,008,d008,t008,m008
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/treatment-free-remission/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&quiz=1_0&wait=4000,008a,d008a,t008a,m008a
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/treatment-free-remission/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&quiz=1_0&tabs=2&wait=4000,008b,d008b,t008b,m008b
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/treatment-free-remission/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&quiz=1_0&tooltip=1&wait=4000,008c,d008c,t008c,m008c
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/treatment-free-remission/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&quiz=1_0&tabs=2&tooltip=1&wait=4000,008q,d008q,t008q,m008q
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/treatment-free-remission/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&quiz=1_1&wait=4000,008d,d008d,t008d,m008d
,/_sites/Tasigna/tasigna.edit.stage.calypso.novartis.episerverhosting.com/about-treatment/treatment-free-remission/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&quiz=1_2&wait=4000,008e,d008e,t008e,m008e
