Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,001,d001,t001,m001
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=1,001a,d001a,t001a,m001a
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=2,001b,d001b,t001b,m001b
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=3,001c,d001c,t001c,m001c
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=4,001d,d001d,t001d,m001d
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,002,d002,t002,m002
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/about-the-disease/understanding-the-disease/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,003,d003,t003,m003
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/about-the-disease/signs--symptoms/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,004,d004,t004,m004
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/about-the-disease/diagnosis/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,005,d005,t005,m005
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/about-treatment/understanding-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,006,d006,t006,m006
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,007,d007,t007,m007
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/about-treatment/how-to-take/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,008,d008,t008,m008
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/about-treatment/monitoring/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,009,d009,t009,m009
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/side-effects/understanding-side-effects/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,010,d010,t010,m010
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/patient-support/financial-resources/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,012,d012,t012,m012
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/patient-support/frequently-asked-questions/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,014,d014,t014,m014
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/patient-support/frequently-asked-questions/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,015,d015,t015,m015
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/patient-support/how-to-get-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,016,d016,t016,m016
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/patient-support/sign-up-for-support/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,017,d017,t017,m017
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/patient-support/download-helpful-materials/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,018,d018,t018,m018
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/patient-support/patient-stories/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,020,d020,t020,m020
,/_sites/Jadenu/www.jadenu.com.chronic.iron.overload/sitemap/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,022,d022,t022,m022
