Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=6000,1,d001,t001,m001
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=6000&menu=1,001a,d001a,t001a,m001a
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=6000&menu=2,001b,d001b,t001b,m001b
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=6000&menu=3,001c,d001c,t001c,m001c
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=6000&menu=4,001d,d001d,t001d,m001d
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=6000&headerAccordion=1,001e,DNT,DNT,m001e
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=6000,2,d002,t002,m002
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/about-disease/what-is-advanced-metastatic-melanoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=6000,3,d003,t003,m003
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/about-disease/what-is-advanced-metastatic-melanoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&tabs=2&wait=6000,003a,d003a,t003a,m003a
,/_sites/Tafinlar-Mekinist/www.us.tafinlarmekinist.com/advanced-melanoma/about-disease/BRAF-positive-melanoma-diagnosis/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=6000,4,d004,t004,m004
