Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,000,d000,t000,m000
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&menu=1&wait=4000,001,d001,t001,m001
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&menu=2&wait=4000,002,d002,t002,m002
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&menu=3&wait=4000,003,d003,t003,m003
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,004,d004,t004,m004
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/about-treatment/understanding-treatment/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,005,d005,t005,m005
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/about-treatment/how-treatment-may-help-you/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,006,d006,t006,m006
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/about-treatment/how-to-take/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,007,d007,t007,m007
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/side-effects/understanding-side-effects/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,008,d008,t008,m008
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/side-effects/understanding-side-effects/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&accordion=1,008.2,d008.2,t008.2,m008.2
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/side-effects/side-effects-management/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,009,d009,t009,m009
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/patient-support/financial-resources/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,010,d010,t010,m010
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/patient-support/frequently-asked-questions/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,011,d011,t011,m011
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/patient-support/frequently-asked-questions/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,012,d012,t012,m012
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/patient-support/download-helpful-materials/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,013,d013,t013,m013
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/sitemap/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,014,d014,t014,m014
,/_sites/Tykerb/www.us.tykerb.com/her2-positive-metastatic-breast-cancer/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&headerAccordion=1&wait=4000,015,DNT,DNT,m015
