Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,000,d000,t000,m000
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,001,d001,t001,m001
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=1,002,d002,t002,m002
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=2,003,d003,t003,m003
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=3,004,d004,t004,m004
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=4,005,d005,t005,m005
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/about-disease/understanding-the-disease/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,006,d006,t006,m006
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/about-treatment/understanding-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,007,d007,t007,m007
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,008,d008,t008,m008
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/about-treatment/how-to-take-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,009,d009,t009,m009
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/about-treatment/monitoring-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,010,d010,t010,m010
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/side-effects/understanding-side-effects/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,011,d011,t011,m011
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/side-effects/side-effect-management/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,012,d012,t012,m012
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/patient-support/financial-resources/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,013,d013,t013,m013
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/patient-support/finding-support/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,014,d014,t014,m014
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/patient-support/frequently-asked-questions/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,015,d015,t015,m015
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/patient-support/frequently-asked-questions/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,016,d016,t016,m016
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/patient-support/download-helpful-materials/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,017,d017,t017,m017
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/sitemap/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,018,d018,t018,m018
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&interstitial=1&wait=4000,019,d019,t019,m019
,/_sites/Votrient/www.us.votrient.com/advanced-soft-tissue-sarcoma/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&headerAccordion=1,020,DNT,DNT,m020
