Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,000,d000,t000,m000
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,001,d001,t001,m001
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=1,002,d002,t002,m002
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=2,003,d003,t003,m003
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=3,004,d004,t004,m004
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=4,005,d005,t005,m005
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/about-the-disease/what-is-renal-cell-carcinoma/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,006,d006,t006,m006
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/about-the-disease/symptoms-signs/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,007,d007,t007,m007
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/about-the-disease/testing-diagnosis/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,008,d008,t008,m008
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/about-treatment/treatment/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,009,d009,t009,m009
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/about-treatment/how-votrient-may-help/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,010,d010,t010,m010
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/about-treatment/how-to-take-treatment/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,011,d011,t011,m011
,/_sites/Votrient/votrient.edit.stage.calypso.novartis.episerverhosting.com/metastatic-renal-cell-carcinoma/about-treatment/how-to-take-treatment/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&tabs=1&wait=4000,011a,d011a,t011a,m011a
