Host,Path,Prefix,Desktop Filename,Tablet Filename,Mobile Filename
,/_sites/Zykadia/www.us.zykadia.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,001,d001,t001,m001
,/_sites/Zykadia/www.us.zykadia.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=1,001a,d001a,t001a,m001a
,/_sites/Zykadia/www.us.zykadia.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=2,001b,d001b,t001b,m001b
,/_sites/Zykadia/www.us.zykadia.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=3,001c,d001c,t001c,m001c
,/_sites/Zykadia/www.us.zykadia.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000&menu=4,001d,d001d,t001d,m001d
,/_sites/Zykadia/www.us.zykadia.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&showFlyout=1&wait=4000,001e,d001e,t001e,m001e
,/_sites/Zykadia/www.us.zykadia.com/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&headerAccordion=1&wait=4000,001f,DNT,DNT,m001f
,/_sites/Zykadia/www.us.zykadia.com/about-disease/understanding-the-disease/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,002,d002,t002,m002
,/_sites/Zykadia/www.us.zykadia.com/about-treatment/understanding-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,003,d003,t003,m003
,/_sites/Zykadia/www.us.zykadia.com/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,004a,d004a,t004a,m004a
,/_sites/Zykadia/www.us.zykadia.com/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&accordion=1&wait=4000,004b,d004b,t004b,m004b
,/_sites/Zykadia/www.us.zykadia.com/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&tabs=2&wait=4000,004c,d004c,t004c,m004c
,/_sites/Zykadia/www.us.zykadia.com/about-treatment/how-treatment-may-help/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&tooltip=1&wait=4000,004d,d004d,t004d,m004d
,/_sites/Zykadia/www.us.zykadia.com/about-treatment/how-to-take/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,005,d005,t005,m005
,/_sites/Zykadia/www.us.zykadia.com/side-effects/understanding-side-effects/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,006,d006,t006,m006
,/_sites/Zykadia/www.us.zykadia.com/patient-support/financial-resources/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,007,d007,t007,m007
,/_sites/Zykadia/www.us.zykadia.com/patient-support/frequently-asked-questions/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,008,d008,t008,m008
,/_sites/Zykadia/www.us.zykadia.com/patient-support/frequently-asked-questions/index.html?ed=1&accordion=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,009,d009,t009,m009
,/_sites/Zykadia/www.us.zykadia.com/patient-support/how-to-get-treatment/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,010,d010,t010,m010
,/_sites/Zykadia/www.us.zykadia.com/patient-support/download-helpful-materials/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,011,d011,t011,m011
,/_sites/Zykadia/www.us.zykadia.com/sitemap/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,012,d012,t012,m012
,/_sites/Zykadia/www.us.zykadia.com/patient-support/lung-cancer-support-groups/index.html?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,013,d013,t013,m013
http://www.us.zykadia.com,/error-page/?ed=1&call=jQuery.getScript('http://novartis-episerver-cobq-master-novartis.kinetiq.network/_sites/ss.js')&wait=4000,014,d014,t014,m014
